"10.04.2023","16 ЛЕТ НА РЫНКЕ КАЗАХСТАНА!","","","","","","",""
"","","","","","","","",""
"Код","Артикул","Полное наименование","Доступность
(штук)","Цена
(тенге)","Срок
гарантии","В коробке
(штук)","Фото","Ссылка"
"16580      ","5041 0","Коврик для компьютерной мыши Defender Silver Laser                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ","1","599","14 дней","500","","Ссылка"
"19478      ","50405","Коврик для компьютерной мыши Defender Sticker                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ","1","341","14 дней","400","","50405"
"29822      ","50566","Коврик для компьютерной мыши Defender Ultra Light Подсветка","2","7,348","14 дней","400","","50566"
"16582      ","50706","Коврик для компьютерной мыши Defender Шелковый. Тонкие коврики Defender с шелковистым покрытием приятны на ощупь. Картинка, выполненная на шелке с помощью особой техники печати, «играет» на свету. Коллекция с животными и фактурами ориентирована на пользователей женского пола. Основа из натуральной резины препятствует скольжению коврика по рабочей поверхности.                                                                                                                                           ","2","935","14 дней","200","","50706"
"24575      ","AGILITY GD20","Коврик для мыши MSI AGILITY GD20 320mm x 220mm x 5mm, Тканевая микротекстурная поверхность",">50","3,759","14 дней","10","","Ссылка"
"25113      ","AGILITY GD60","Коврик для мыши MSI AGILITY GD60 386mm x 290mm x 10.2mm, USB-Подсветка, Тканевая микротекстурная поверхность",">50","8,950","14 дней","10","","Ссылка"
"22823      ","GAMING Shield Mousepad","Коврик для мыши MSI GAMING Shield Mousepad 320mm (д) x 220mm (ш) x 5mm (т)","17","2,819","14 дней","10","","Ссылка"
"16586      ","50905","Эргономичный коврик для компьютерной мыши Defender Гелевый Easywork, черный                                                                                                                                                                                                                                                                                                                                                                                                                                         ","8","2,354","14 дней","30","","Ссылка"
"Микрофоны","","","","","","","",""
"28473      ","64630","Игровой стрим микрофон Defender Forte GMC 300 3,5 мм, провод 1.5 м, НОВИНКА!","4","6,887","14 дней","50","","Ссылка"
"28474      ","64620","Игровой стрим микрофон Defender Pitch GMC 200 3,5 мм, LED, провод 1.5 м, НОВИНКА!","2","5,281","14 дней","50","","64620"
"29074      ","64650","Игровой стрим микрофон Defender Sonorus GMC 500 USB, провод 1.35 м","2","9,505","14 дней","50","","64650"
"24282      ","77640","Игровой стрим микрофон Redragon Blazar GM300 USB, кабель 1.8 м, НОВИНКА!","3","33,245","18 мес.  ","10","","77640"
"Чистящие средства","","","","","","","",""
"23165      ","30598","Очищающий комплекс для экранов Defender CLN 30598 Optima 200мл+микрофибра","1","895","14 дней","12","","30598"
"25977      ","30805","Пневматический распылитель высокого давления Defender CLN 30805 Optima","1","1,180","14 дней","12","","30805"
"15835      ","30320","Салфетки влажные для экранов Defender CLN30320 для экранов в тубе (100шт). Салфетки предназначены для ухода за экранами всех видов (экраны мониторов с электронно-лучевыми трубками, жидкокристаллическими экранами, плазменными панелями), а также стеклянными частями сканеров и копиров. Уникальная формула без спирта. Нейтральный запах. Салфетки снимают статическое электричество, не оставляют разводов.                                                                                                    ","11","609","14 дней","12","","Ссылка"
"15833      ","30300","Универсальные чистящие салфетки Defender CLN 30300. Салфетки предназначены для ухода за экранами всех видов (экраны мониторов с электронно-лучевыми трубками, жидкокристаллическими экранами, плазменными панелями), а также стеклянными частями сканеров и копиров. Салфетка из нетканого материала на основе вискозы. Пропитывающий раствор: деминерализованная вода, четвертичная соль аммония, антистатик, консервант. Уникальная формула без спирта. Нейтральный запах.                                        ","10","609","14 дней","12","","Ссылка"
"28083      ","30100","Универсальные чистящие салфетки для поверхностей Defender CLN 30100 Pro, в тубе 110шт","28","1,132","14 дней","12","","30100"
"27655      ","30104","Универсальные чистящие салфетки для поверхностей Defender CLN 30104 Pro антибактериальный, в тубе 11","9","819","14 дней","12","","30104"
"25438      ","30330","Универсальные чистящие салфетки для рук Defender CLN 30330 универсальные, антибактериальные, пакет с","1","125","14 дней","50","","30330"
"25976      ","30102","Универсальные чистящие салфетки для экранов Defender CLN 30102 Pro, в тубе 100шт","10","1,226","14 дней","12","","30102"
"25437      ","30202","Универсальные чистящие салфетки для экранов Defender CLN 30202 Optima, пакет с подвесом 20 шт","1","272","14 дней","38","","30202"
"15836      ","30322","Универсальные чистящие салфетки для экранов всех типов Defender CLN 30322. Подходит для всех типов экранов. Без ворсинок и разводов.Антистатическая обработка                                                                                                                                                                                                                                                                                                                                                       ",">50","541","14 дней","12","","Ссылка"
"Звуковые колонки","","","","","","","",""
"29077      ","65408","Акустическая 2.0 система Defender Aurora S8 черный, 8 Вт, питание от USB","1","4,001","6 мес.  ","4","","65408"
"29078      ","65290","Акустическая 2.0 система Defender G90, 90Вт, BT/FM/TF/USB/RC/Optical, 220 В","2","58,175","6 мес.  ","1","","65290"
"28546      ","65361","Акустическая 2.0 система Defender X361 36Вт, BT/FM/MP3/SD/USB/LED/RC","1","24,456","6 мес.  ","4","","65361"
"29728      ","65181","Акустическая система 2,1 Defender X181, 18Вт, BT/FM/MP3/SD/USB/LED/RC","1","21,928","6 мес.  ","","","Ссылка"
"31073      ","65402","Колонки Defender Solar 2","10","6,713","6 мес.  ","","","65402"
"17663      ","65633","Колонки стерео Defender SPK 33 (Питание и сигнал по USB) 5 Вт, черные","4","1,835","3 мес.  ","100","","Ссылка"
"20846      ","65635","Колонки стерео Defender SPK 35, USB (черные)","3","1,835","3 мес.  ","100","","65635"
"15255      ","65165","Колонки стерео Defender SPK-170 Черные USB. Cовременные компьютерные колонки с разъемом для наушников и регулятором громкости звука. Они идеально подойдут для повседневного использования в офисах и общеобразовательных учреждениях. Компактный размер. Регулятор громкости звука. Разъем для наушников. Магнитная экранировка корпуса.                                                                                                                                                                           ","1","3,092","1 год","40","","Ссылка"
"24289      ","65190","Колонки стерео Defender SPK-190 Черные USB","1","5,576","1 год","40","","65190"
"15257      ","65210","Колонки стерео Defender SPK-210. 2x2 W, Cовременные компьютерные колонки с питанием от сети 220В. Компактный размер. Регулятор громкости звука. Разъем для наушников. Магнитная экранировка корпуса.                                                                                                                                                                                                                                                                                                                ","1","3,812","1 год","40","","Ссылка"
"16818      ","65503","Колонки стерео Defender SPK-22 Черные USB. Колонки не требуют сетевого источника питания. Просто подключите колонки к USB-разъему компьютера и наслаждайтесь звуком. Колонки необходимо подключить также к аудиоразъему вашего персонального компьютера, поскольку данная модель не оборудована интегрированной звуковой картой.                                                                                                                                                                                    ","1","1,289","3 мес.  ","100","","Ссылка"
"15258      ","65220","Колонки стерео Defender SPK-225 USB. Вам гарантирован качественный звук, где бы вы ни находились. Они оптимально подходят для комфортного прослушивания музыки с ноутбука. Питание от USB. Компактный размер. Регулятор громкости звука. Разъем для наушников. Магнитная экранировка корпуса.                                                                                                                                                                                                                       ","1","2,996","1 год","60","","Ссылка"
"28475      ","65225","Компактная активная стереосистема в деревянном корпусе 2.0 Defender SPK-250","9","5,294","1 год","60","","65225"
"26231      ","77878","Колонки стерео Redragon Anvil, USB","3","10,243","1 год","20","","77878"
"24603      ","77600","Колонки стерео Redragon Stentor, USB, НОВИНКА!","3","7,258","18 мес.  ","20","","77600"
"28341      ","65232","Портативная аккустика Defender G32 20Вт,BT/FM/USB/TF/AUX/TWS/IP56","2","14,768","6 мес.  ","20","","65232"
"31436      ","SPA20/00","Портативная акустика PHILIPS SPA20/00 7Вт, 75 Гц-20 кГц, miniJack 3,5 мм, кабель 1,5 м, USB, Черные","6","3,133","1 год","20","","Ссылка"
"Мыши проводные","","","","","","","",""
"AOC","","","","","","","",""
"30494      ","AGM700","Мышь игровая AOC AGM700 8 кн. 16000 dpi, SYNC RGB подсветка, ПЕРЕКЛЮЧАТЕЛИ OMRON, МГНОВЕННОЕ ПЕРЕКЛЮЧЕНИЕ DPI, УСОВЕРШЕНСТВОВАННАЯ СИСТЕМА НАСТРОЙКИ ВЕСА, USB2.0 кабель 1.8 м Черный AGM700DRCR. Мышь с высокотехнологичным сенсором Pixart PMW3389 с фактическим DPI 16 000 мгновенно переводит любое движение руки в уверенное действие на экран!",">50","20,496","1 год","","","Ссылка"
"30489      ","GM200","Мышь игровая AOC GM200 6 кн. 4200 dpi, МГНОВЕННОЕ ПЕРЕКЛЮЧЕНИЕ DPI, RGB подсветка, USB2.0 кабель 1.8 м Черный, Эргономика, Для правой руки Ладонный хват. GM200DREE",">50","6,713","1 год","","","Ссылка"
"30490      ","GM300B","Мышь игровая AOC GM300B 7 кн. 6200 dpi Сенсор Pixart PMW3327, МГНОВЕННОЕ ПЕРЕКЛЮЧЕНИЕ DPI,   RGB подсветка с Light FX Sync RGB, Переключатели Kailh - 30 МИЛЛИОНОВ КЛИКОВ, БЕЗВРЕДНОЕ ДЛЯ КОЖИ МАТОВОЕ УФ-ПОКРЫТИЕ, ПЛЕТЕНЫЙ КАБЕЛЬ И ПОЗОЛОЧЕННЫЙ USB, USB2.0 кабель 1.8 м Черный GM300B",">50","12,530","1 год","","","Ссылка"
"30491      ","GM500","Мышь игровая AOC GM500 8 кн. 5000 dpi, USB2.0 кабель 1.8 м Черный GM500DRBE",">50","11,725","1 год","","","Ссылка"
"30492      ","GM510B","Мышь игровая AOC GM510B 6 кн. 16000 dpi, USB2.0 кабель 1.8 м Черный GM510B",">50","17,587","1 год","","","Ссылка"
"30493      ","GM530B","Мышь игровая AOC GM530B 7 кн. 16000 dpi, USB2.0 кабель 1.8 м Черный GM530B",">50","18,437","1 год","","","Ссылка"
"ASUS","","","","","","","",""
"30029      ","P305 TUF GAMING M3","Игровая Проводная Мышь ASUS P305 TUF GAMING M3 7000dpi USB Поддержка синхронизации цвета AURA","40","7,831","1 год","20","","Ссылка"
"30030      ","P506 ROG STRIX IMPACT II","Игровая Проводная Мышь ASUS P506 ROG STRIX IMPACT II 6200dpi USB Поддержка синхронизации цвета AURA","8","21,033","1 год","20","","Ссылка"
"DEFENDER","","","","","","","",""
"18863      ","52160","Мышь проводная Defender Optimum MB-160 (Черный), USB 2кн, 1кл-кн. Полноразмерная мышь для ПК, сенсор оптический 1000 dpi, 3 кнопки, колесо с нажатием. Длина провода 1,5м                                                                                                                                                                                                                                                                                                                                           ",">50","734","6 мес.  ","40","","Ссылка"
"31828      ","52927","Мышь Defender Sleipnir GM-927","1","2,757","18 мес.  ","40","","52927"
"29820      ","77853","Мышь Redragon Storm Elite","2","13,680","18 мес.  ","40","","77853"
"17305      ","70235","Мышь проводная игровая оптическая Redragon Centrophorus (черный) USB, 6кнопок, 1000-3200dpi                                                                                                                                                                                                                                                                                                                                                                                                                         ","1","4,770","18 мес.  ","60","","Ссылка"
"28617      ","52362","Мышь проводная Defender Accura MM-362 черный,6 кнопок, 800-1600 dpi, НОВИНКА!","7","1,750","6 мес.  ","40","","Ссылка"
"27967      ","52231","Мышь проводная Defender Classic MB-230 (Черный), USB 4кн, 1кл-кн, 1000-1200 dpi, НОВИНКА!","10","895","6 мес.  ","40","","52231"
"22532      ","52270","Мышь проводная Defender Classic MB-270 (Черный), USB 2кн, 1кл-кн, коробочка, НОВИНКА!",">50","662","1 год","40","","Ссылка"
"28469      ","52550","Мышь проводная Defender Hit MB-550 7цветов,3кнопки,1200dpi,черный, НОВИНКА!","1","920","6 мес.  ","40","","52550"
"22533      ","52759","Мышь проводная Defender Patch MS-759 (Черный), USB 2кн, 1кл-кн, коробочка,  НОВИНКА!",">50","533","6 мес.  ","100","","Ссылка"
"19625      ","52250","Мышь проводная игровая оптическая Defender Bionic GM-250L (черный),USB, 6 кн. + колесо, 800-3200, + КОВРИК!                                                                                                                                                                                                                                                                                                                                                                                                         ","3","2,390","1 год","40","","Ссылка"
"29060      ","52033","Мышь проводная игровая оптическая Defender Chaos GM-033 оптика,4кнопки,2400dpi","1","1,601","1 год","40","","52033"
"24275      ","52540","Мышь проводная игровая оптическая Defender Demoniac GM-540L оптика,6кнопок,3200dpi, НОВИНКА!","2","2,667","1 год","40","","52540"
"27541      ","52918","Мышь проводная игровая оптическая Defender Destiny GM-918 оптика,6кнопок,3200dpi, НОВИНКА!","1","2,959","1 год","40","","52918"
"18927      ","52020","Мышь проводная игровая оптическая Defender Forced GM-020L (черный),USB, 6 кн. + колесо, 800-3200 dpi. Эмуляция клавиш клавиатуры. 4 режима разрешения мыши
Широкое прорезиненное колесо прокрутки шириной 8 мм с подсветкой. Высокопрочный долговечный кабель. 2 дополнительные боковые кнопки. Переливающаяся подсветка. Прочное, приятное на ощупь прорезиненное покрытие. 5 программируемых кнопок. Коврик в комплекте!                                                                                         ","7","2,390","1 год","40","","Ссылка"
"20740      ","52190","Мышь проводная игровая оптическая Defender Ghost GM-190L (черный),USB, 6 кн. + колесо, 800-3200, 4 режима разрешения мыши. Широкое прорезиненное колесо прокрутки шириной 8 мм с подсветкой. Высокопрочный долговечный кабель. Позолоченный USB-коннектор. 2 дополнительные боковые кнопки. Ферритовый фильтр помех. Переливающаяся подсветка. Прочное, приятное на ощупь прорезиненное покрытие. Коврик в комплекте!                                                                                                                      ","1","2,442","1 год","40","","Ссылка"
"21611      ","52430","Мышь проводная игровая оптическая Defender Halo Z GM-430L (черный),USB, 7 кнопок, 800-3200 dpi, НОВИНКА!                                                                                                                                                                                                                                                                                                                                                                                                            ","1","2,840","1 год","40","","Ссылка"
"23877      ","52890","Мышь проводная игровая оптическая Defender OverLord GM-890 черная, 3200dpi, НОВИНКА!","1","2,617","1 год","40","","52890"
"26599      ","52069","Мышь проводная игровая оптическая Defender Overmatch GM-069 (черный),USB, 4 кнопки, 2400dpi, НОВИНКА","1","1,695","1 год","40","","52069"
"26373      ","52670","Мышь проводная игровая оптическая Defender Prototype GM-670L (черный),USB, 6 кнопок, 2400dpi, НОВИНК","1","1,904","1 год","40","","52670"
"18928      ","52110","Мышь проводная игровая оптическая Defender Shock GM-110L (черный),USB, 6 кн. + колесо, 800-3200, Эмуляция клавиш клавиатуры. 4 режима разрешения мыши
Широкое прорезиненное колесо прокрутки шириной 8 мм с подсветкой. Высокопрочный долговечный кабель. 2 дополнительные боковые кнопки. Переливающаяся подсветка. Прочное, приятное на ощупь прорезиненное покрытие. 5 программируемых кнопок. Коврик в комплекте!                                                                                              ","2","2,117","1 год","40","","Ссылка"
"23330      ","52680","Мышь проводная игровая оптическая Defender Syberia GM-680L RGB,7кнопок,3200dpi, НОВИНКА!","1","4,033","1 год","40","","52680"
"26372      ","52650","Мышь проводная игровая оптическая Defender Titan GM-650L (черный),USB, RGB, Macro, 6кнопок, 6400dpi,","1","3,722","1 год","40","","52650"
"22236      ","75054","Мышь проводная игровая оптическая Redragon Cobra (черный) USB, 9 кнопок, 100-10000 dpi, НОВИНКА!","1","7,294","1 год","60","","Ссылка"
"22237      ","75170","Мышь проводная игровая оптическая Redragon Gainer (черный) USB, 5 кнопок, 1000-3200 dpi, НОВИНКА!","1","4,850","18 мес.  ","40","","Ссылка"
"25435      ","77636","Мышь проводная игровая оптическая Redragon Inquisitor 2 (черный) USB, 7 кнопок, 500-7200 dpi, НОВИНК","1","6,018","18 мес.  ","40","","77636"
"20742      ","70438","Мышь проводная игровая оптическая Redragon Nemeanlion 2 (черный) USB, 7кнопок, 3000 dpi, НОВИНКА!                                                                                                                                                                                                                                                                                                                                                                                                                   ","1","5,862","18 мес.  ","40","","70438"
"22242      ","74806","Мышь проводная игровая оптическая Redragon Pegasus (черный) USB, 7 кнопок, 500-7200 dpi, НОВИНКА!","1","5,833","18 мес.  ","60","","Ссылка"
"20743      ","75169","Мышь проводная игровая оптическая Redragon Phaser (черный) USB, 7кнопок, 3000 dpi, НОВИНКА!                                                                                                                                                                                                                                                                                                                                                                                                                         ","1","5,057","18 мес.  ","40","","75169"
"22243      ","75097","Мышь проводная игровая оптическая Redragon Phoenix 2 (черный) USB, 11 кнопок, 500-10000 dpi, НОВИНКА","1","8,602","18 мес.  ","40","","Ссылка"
"MSI","","","","","","","",""
"25116      ","Clutch GM08","Мышь MSI Clutch GM08 GAMING Mouse USB2.0/Проводная игровая мышь MSI Clutch GM08 обладает эргономичным корпусом симметричной формы, поэтому ее можно с удобством держать и правой, и левой рукой. Имея средний размер, она одинаково хорошо подходит как для ладонного, так и для «когтевого» хвата. Чтобы мышка не выскальзывала из пальцев, на ее корпусе имеются рифленые боковины «драконья чешуя». Дополнительные кнопки обладают удобной для нажатия полигональной формой и легким ходом.Передовой оптический сенсор PixArt PAW 3519 с разрешением до 4200 точек на дюйм гарантирует точность управления. Переключатели кнопок мыши рассчитаны на более 10 миллионов нажатий, а USB-разъем сделан позолоченным для улучшения качества сигнала.",">50","5,012","1 год","10","","Ссылка"
"24580      ","Clutch GM11","Мышь MSI Clutch GM11. Полноцветная RGB подсветка с 7 световыми эффектами. 5-уровневый оптический сенсор с 5 различными цветами. Симметричный дизайн под правую или левую руку. Оптический сенсор PMW-3325. Точная детальная настройка с помощью Dragon Center",">50","7,026","1 год","10","","Ссылка"
"29302      ","Clutch GM30","Мышь MSI Clutch GM30 Black GAMING Mouse USB2.0/кабель 2м/Вес 98г./Черный",">50","14,320","1 год","","","Ссылка"
"22810      ","Clutch GM40","Мышь MSI Clutch GM40 Black GAMING Mouse USB2.0/кабель 2м/Вес 129г./Черный",">50","6,892","1 год","","","Clutch GM40"
"22809      ","Clutch GM50","Мышь MSI Clutch GM50 USB2.0/TPE-кабель 2м/Вес 87г./RGB подсветка/Черный","44","17,900","1 год","10","","Ссылка"
"PHILIPS","","","","","","","",""
"31441      ","SPK7207B/00","Мышь проводная PHILIPS SPK7207B/00 1200 dpi USB2.0, 3 кнопки, Кабель 1.5м, Эргономичный дизайн, Хват правой и левой рукой, 3 млн нажатий, Вес 83г, Тип покрытия: Резина, краска, Цвет: Black ",">50","3,043","1 год","","","Ссылка"
"REDRAGON","","","","","","","",""
"24958      ","77608","Мышь проводная игровая оптическая Redragon Sniper RGB (черный) USB, 10 кнопок, 12400 dpi, НОВИНКА!","1","10,750","1 год","40","","77608"
"31826      ","77933","Мышь проводная игровая оптическая Redragon Storm RGB (белый) ","2","10,583","1 год","40","","77933"
"31827      ","77854","Мышь проводная игровая оптическая Redragon Storm RGB (черный) ","1","10,136","1 год","40","","77854"
"Logitech","","","","","","","",""
"28414      ","910-005470","Мышь игровая Logitech G502 HERO High Performance Gaming Mouse - USB - EER2 910-005470","2","35,800","2 года","10","","910-005470"
"Мыши беспроводные","","","","","","","",""
"20739      ","52367","Мышь беспроводная Defender Accura MM-365 красный,6 кнопок,800-1600 dpi, 3 режима разрешения мыши 800/1200/1600 dpi. 2 дополнительные боковые кнопки. Эргономичная форма. Сверхпрочное прорезиненное покрытие.                                                                                                                                                                                                                                                                                                       ","4","1,991","6 мес.  ","40","","Ссылка"
"28413      ","910-005440","Мышь беспроводная Logitech PRO (HERO) Gaming Mouse -BLACK - USB - EER2 910-005440","1","33,563","2 года","10","","910-005440"
"20898      ","74847","Мышь беспроводная игровая Redragon Mirage (черный) USB, 8 кнопок, 4800 dpi, Беспроводная игровая мышь позволит не отвлекаться на мешающие провода и полностью сосредоточиться на игре. Два режима работы, наличие подсветки, возможность смены разрешения и отличный сенсор — лучший выбор для прогеймера. До 6 месяцев игры без замены батарей!","1","7,031","18 мес.  ","40","","Ссылка"
"PHILIPS","","","","","","","",""
"31443      ","SPK7307B/00","Мышь беспроводная PHILIPS 2SPK7307B/00 2,4Гц 1600 dpi USB2.0, 3 кнопки, Эргономичный дизайн, Хват правой и левой рукой, 3 млн нажатий, Вес 83г, Тип покрытия: Резина, краска, Тихий звук щелчка для комфортной работы, Цвет: Black ","3","3,356","1 год","","SPK7307B","Ссылка"
"31445      ","SPK7507B/00","Мышь беспроводная PHILIPS серия 5000, 2,4ГГц 800-3200 dpi USB2.0 6 кн. Тип хвата: Под правую руку, Высокоточная оптическая технология для плавного управления. Эргономичная конструкция: мышь удобно лежит в руке. Долговечные кнопки до 3 млн нажатий. Black SPK7507B/00",">50","4,923","1 год","","SPK7507B","Ссылка"
"30477      ","SPK7407B/00","Мышь беспроводная PHILIPS серия 4000, 4 кн, 1600 dpi, Black SPK7407B/00",">50","6,041","1 год","40","SPK7407B","Ссылка"
"30478      ","SPK7607B/00","Мышь беспроводная PHILIPS серия 6000, 7 кн, 800-3200 dpi, Black SPK7607B/00",">50","6,713","1 год","40","SPK7607B","Ссылка"
"Клавиатуры проводные","","","","","","","",""
"Defender","","","","","","","",""
"18014      ","45527","Клавиатура Defender Element HB-520 B (Черный), USB, ENG/RUS/KAZ,стандарт                                                                                                                                                                                                                                                                                                                                                                                                                                            ",">50","1,638","1 год","20","","Ссылка"
"31917      ","45720","Клавиатура USB Defender Accent SB-720","4","2,000","1 год","26","","45720"
"31831      ","45588","Клавиатура USB Defender Astra HB-588","3","2,076","1 год","20","","45588"
"31072      ","45191","Клавиатура USB Defender Element Element HB-190","17","1,803","14 дней","1","","45191"
"31832      ","45830","Клавиатура USB Defender HM-830 RU","8","2,211","1 год","20","","45830"
"29818      ","45778","Клавиатура USB Defender Raid GK-778DL","3","4,090","1 год","20","","45778"
"32003      ","45011","Клавиатура механическая USB Defender Fobos GK-011","3","13,783","1 год","20","","45011"
"27377      ","45719","Клавиатура проводная Defender Action HB-719 (Черный), USB, ENG/RUS,мультимедиа 117 кн., НОВИНКА!","2","2,211","14 дней","20","","45719"
"22957      ","45450","Клавиатура проводная Defender Atlas HB-450 RU/ENG,черный,мультимедиа 124 кн., НОВИНКА!","5","1,982","6 мес.  ","10","","45450"
"22958      ","45470","Клавиатура проводная Defender Focus HB-470 RU/ENG,черный,мультимедиа, НОВИНКА!","3","2,027","1 год","12","","Ссылка"
"27965      ","45910","Клавиатура проводная Defender Office HB-910, (Черный), USB,  ENG/RUS, полноразмерная, НОВИНКА!","21","1,982","1 год","20","","45910"
"26370      ","45193","Клавиатура проводная игровая Defender Butcher GK-193DL ENG/RUS, RGB подсветка, 9 режимов, НОВИНКА!","1","8,713","6 мес.  ","20","","45193"
"22042      ","45280","Клавиатура проводная игровая Defender Chimera GK-280DL, ENG/RUS, USB, RGB подсветка, 9 режимов. НОВИНКА!","1","7,360","1 год","20","","Ссылка"
"19095      ","45140","Клавиатура проводная игровая Defender Metal Hunter GK-140L, ENG/RUS, USB, Металлическая крышка. Специальные игровые функции, Распознает одновременное нажатие клавиш, Радужная подсветка, Подсветка клавиш, Регулируемая яркость подсветки, Регулируемая частота опроса, Влагоустойчивая конструкция клавиатуры, Возможность выключения подсветки.                                                                                                                                                                  ","1","5,115","1 год","20","","Ссылка"
"29056      ","45300","Клавиатура проводная игровая Defender Spark GK-300L RU,радужная подсветка, НОВИНКА!","1","3,079","6 мес.  ","40","","45300"
"26367      ","45371","Клавиатура проводная игровая механическая Defender Paladin GK-370L,anti-ghost,радужная (Черный), USB","1","11,074","6 мес.  ","20","","45371"
"26368      ","45165","Клавиатура проводная игровая механическая Defender Reborn GK-165DL,anti-ghost,радужная (Черный), USB","1","13,438","6 мес.  ","20","","45165"
"MSI ","","","","","","","",""
"31640      ","Vigor GK20 RU","Игровая Клавиатура MSI Vigor GK20 RU, 108 клавиш, RGB SHOW,  кабель 1,8м, USB2.0","40","10,516","1 год","10","","Ссылка"
"27635      ","Vigor GK20","Игровая Клавиатура MSI Vigor GK20, 108 клавиш, RGB SHOW,  кабель 1,8м, USB2.0",">50","10,516","1 год","10","","Ссылка"
"31115      ","Vigor GK30 RU","Игровая Клавиатура MSI Vigor GK30 RU.  Плунжерные переключатели. Позолоченный коннектор и кабель 1.8 м, USB 2.0, 104 / 105 / 108 клавиш (в зависимости от языка раскладки, 12+ млн. нажатий клавиш. 6 нажатий клавиш одновременно. Ограничение по количеству нажатий - 20 клавиш. НАДЕЖНОЕ ОСНОВАНИЕ ДЛЯ МЕХАНИЧЕСКИХ ПЕРЕКЛЮЧАТЕЛЕЙ - Механические плунжерные переключатели с 3-х частной конструкцией обеспечивают четкий процесс печатания со сроком службы более 12 млн. нажатий. ШОУ ПОДСВЕТКИ - Вырази свой стиль на GK30, используя миллионы цветов и до 10 возможных эффектов в 6 разных зонах подсветки с помощью Dragon Center. УПРАВЛЕНИЕ ПОДСВЕТКОЙ И МЕДИА С ПОМОЩЬЮ ""ГОРЯЧИХ"" КЛАВИШ. СТИЛЬНЫЙ И ПРАКТИЧНЫЙ - Водостойкое покрытие GK30 выглядит великолепно, а также делает легкой уборку от грязи.¶Устойчивое основание прямо под пробелом обеспечивает надежную поддержку и препятствует скольжению и прогибанию во время игры. ЛЕГКОЕ УПРАВЛЕНИЕ ЧЕРЕЗ DRAGON CENTER.","2","13,425","1 год","10","","Ссылка"
"24835      ","Vigor GK50 LOW PROFILE RU","Низкопрофильная Игровая Клавиатура MSI Vigor GK50 LOW PROFILE RU USB 2.0/104клавиши/Никзкопрофильные переключатели Kailh/кабель 1,8м/вес 700г. 50+ млн. нажатий","10","38,933","1 год","10","","Ссылка"
"REDRAGON","","","","","","","",""
"22383      ","70391","Клавиатура проводная игровая Redragon Yaksa  (Черный), USB, ENG/RU, НОВИНКА!","2","9,984","18 мес.  ","20","","70391"
"21440      ","74944","Клавиатура проводная игровая механическая Redragon Hara (Черный), USB, ENG/RU.RGB                                                                                                                                                                                                                                                                                                                                                                                                                                   ","1","21,487","18 мес.  ","20","","Ссылка"
"28443      ","77488","Клавиатура проводная игровая механическая Redragon Sani, RGB, Full Anti-Ghosting, (Черный), USB, ENG","1","18,842","14 дней","20","","77488"
"20897      ","74904","Клавиатура проводная игровая механическая Redragon Varuna (Черный), USB, ENG/RU, НОВИНКА! Увеличенный ресурс нажатия клавиш, долговечные переключатели OUTEMU Blue, программируемая RGB-подсветка и идеальное соотношение «цена/качество». Реализована блокировка клавиши WIN и FULL ANTI-GHOST функция на все кнопки. Для тех, кто понимает толк в играх!                                                                                                                                                                                                                                                    ","1","21,570","18 мес.  ","20","","Ссылка"
"24271      ","75024","Клавиатура проводная игровая механическая Redragon Visnu RU,RGB (Черный), USB, ENG/RU, НОВИНКА!","1","19,527","18 мес.  ","20","","75024"
"Клавиатуры беспроводные","","","","","","","",""
"29072      ","45195","Клавиатура беспроводная Defender Element HB-195 USB (Черный), USB, ENG/RUS,стандарт","26","3,065","1 год","20","","45195"
"22960      ","45535","Клавиатура беспроводная Defender UltraMate SM-535, ENG/RUS, мультимедия, НОВИНКА!","11","3,857","1 год","20","","Ссылка"
"Комплекты клавиатура + мышь (проводные и беспроводные)","","","","","","","",""
"DEFENDER","","","","","","","",""
"15769      ","45925","Беспроводной Комплект, Клавиатура + Мышь, Defender Berkeley C-925 Nano,B Черн RUS Кл:104+12 М:6кн, 8. Клавиша ""LNG"" для смены языка одним нажатием. До 18 месяцев без замены батарей. Специальные игровые функции. Блокировка системных клавиш: нажмите и удерживайте клавишу Fn, затем нажмите клавишу Windows - системные клавиши заблокируются. Чтобы разблокировать клавиши, повторите действие.Переключение клавиш W, A, S, D в игровой режим.                                                                 ","2","9,724","1 год","12","","Ссылка"
"15533      ","45895","Беспроводной Комплект, Клавиатура + Мышь, Defender Skyline 895 Nano (Белый), USB 2.4ГГц. Стильный компактный комплект, состоящий из беспроводной клавиатуры с плоскими разделенными клавишами и мини-мыши с кнопкой смены разрешения.Радиус действия - до 10 метров от компьютера. Увеличенный радиус действия беспроводной связи обеспечивает большую свободу действий. Батарейки входят в комплектацию. Ультраплоские (высота всего 2 мм) разделенные клавиши с увеличенной площадью повышают точность печати.    ",">50","7,974","1 год","12","","Ссылка"
"27958      ","52118","Игровой набор Defender Singularity MKP-118 мышь+клавиатура+гарнитура+ков., НОВИНКА!","1","10,449","6 мес.  ","10","","52118"
"17660      ","45915","Набор беспроводный Defender C-915 Nano,B (Черный) ENG/RU Кл:104 М:4кн, 800/1200","4","5,110","3 мес.  ","20","","Ссылка"
"23479      ","45270","Проводной Комплект Клавиатура + Мышь Dakota C-270, USB, Оптическая мышь, Черный, C-777","7","2,909","1 год","12","","Ссылка"
